"<p>This text will be displayed next to agreement checkbox in InPost Pay Mobile App before order placement.</p>
<p>In order to add more links to sub-agreements for a single checkbox:</p>
<p>Create new InPost Pay Agreement with Visible As: Sub-Agreement</p>
<p>All saved and enabled Sub-Agreements will be listed above.</p>
<p>Select all sub-agreements needed.</p>
<p>On the Main Agreement enter Checkbox Text content with short description.</p>
<p>Variables {ID|Label} can be used to display Sub-Agreements as Links to their URLs</p>
<p>For example:</p>
<p>Sub-Agreements created and selected: {1|Regulations} and {2|Privacy Policy}</p>
<p>Checkbox Text: I confirm that I have read the {1|Regulations} and agree to the {2|Privacy Policy}</p>
<p>In InPost Pay Mobile App agreement from this example will be displayed as text with links to Sub-Agreements under words in brackets</p>
<p>I confirm that I have read the Regulations and agree to the Privacy Policy</p>","<p>Powyższy tekst zostanie wyświetlony obok checkboxa do zaznaczenia przez klienta w Aplikacji InPost Pay przed złożeniem zamówienia.</p>
<p>Aby skonfigurować linki i pod-zgody do treści zgody głównej należy:</p>
<p>Utworzyć i zapisać nową, osobną zgodę z zaznaczonym Widoczna Jako: Pod-Zgoda</p>
<p>Wszystkie zapisane i włączone Pod-Zgody będą dostępne na liście powyżej.</p>
<p>Należy zaznaczyć Pod-Zgody potrzebne do wykorzystania w tej Zgodzie Głównej.</p>
<p>W Zgodzie Głównej należy uzupełnić Tekst Checkboxa krótkim opisem zgody.</p>
<p>Zmienne {ID|Nagłówek} może zostać użyty do wyświetlenia Pod-Zgód z ich adresami URL</p>
<p>Przykład:</p>
<p>Pod-Zgody utworzone i zaznaczone: {1|Regulaminem} and {2|Polityką Prywatności}</p>
<p>Tekst Checkboxa: Potwierdzam zapoznanie się z {1|Regulaminem} zgadzam się z {2|Polityką Prywatności}</p>
<p>W Aplikacji Mobilnej zgoda z tego przykładu zostanie wyświetlona jako tekst z linkami do Pod-Zgód pod słowami w nawiazach</p>
<p>Potwierdzam zapoznanie się z Regulaminem zgadzam się z Polityką Prywatności</p>]]>",module,InPost_InPostPay
"Network problem","Problem z siecią",module,InPost_InPostPay
"Connection has been interrupted, please try again.","Połączenie zostało przerwane, spróbuj ponownie",module,InPost_InPostPay
"Unhandled status","Nieoczekiwany status",module,InPost_InPostPay
"New Order Status","Status Nowego Zamówienia",module,InPost_InPostPay
"Payment from Applicable Countries","Akceptacja Płatności z Krajów",module,InPost_InPostPay
"Payment from Specific Countries","Akceptacja Płatności z Wymienionych Krajów",module,InPost_InPostPay
"Minimum Order Total","Minimalna Wartość Zamówienia",module,InPost_InPostPay
"Maximum Order Total","Maksymalna Wartość Zamówienia",module,InPost_InPostPay
"Enable InPost Pay Sandbox","Przełącz InPost Pay w Tryb Sandbox",module,InPost_InPostPay
"Mapping for InPost Courier delivery method","Mapowanie Kuriera InPost do metody dostawy",module,InPost_InPostPay
"Mapping for InPost Paczkomat 24/7 delivery method","Mapowanie metody dostawy InPost Paczkomat 24/7",module,InPost_InPostPay
"Shipping method ""%1"" is already used in ""%2"" configuration. Each method can only be used once.","Metoda dostawy ""%1"" jest już wykorzystawa w konfiguracji ""%2"". Każda metoda może być przypisana tylko raz.",module,InPost_InPostPay
"Could not obtain public key.","Nie udało się uzyskać klucza publicznego.",module,InPost_InPostPay
"Empty IZI API URL","Wartość IZI API URL jest pusta",module,InPost_InPostPay
"InPost API endpoint ""%1"" responded with an error: %2","Procesowane zapytania API InPost ""%1"" zwróciło błąd: %2",module,InPost_InPostPay
"InPost API endpoint ""%1"" responded with %2 code.","Procesowane zapytania API InPost ""%1"" zwróciło kod: %2",module,InPost_InPostPay
"There was a problem with public key generation request. Details: %1","Wystąpił błąd podczas procesowania zapytania generującego klucz publiczny. Szczegóły: %1",module,InPost_InPostPay
"Could not generate token due to invalid configuration. Details: %1","Nie można wygenerować token autoryzacyjnego ze względu na błędną konfigurację systemu. Szczegóły: %1",module,InPost_InPostPay
"There was a problem with processing token generation request. Details: %1","Wystąpił błąd podczas generacji tokena. Szczegóły: %1",module,InPost_InPostPay
"Incorrect public key hash","Niepoprawny hash klucza publicznego",module,InPost_InPostPay
"Invalid signature","Niepoprawna sygnatura",module,InPost_InPostPay
"There has been an error during signature validation: ""%1""","Wystąpił błąd podczas weryfikacji sygnatury: ""%1""",module,InPost_InPostPay
"Signature validation failed for unknown reasons","Weryfikacja sygnatury nie powiodła się z nieznanego powodu",module,InPost_InPostPay
"Signature is no longer valid","Sygnatura utraciła ważność",module,InPost_InPostPay
"InPost Locker cannot be obtained because quote does not exist: %1","Paczkomat nie może zostać pobrany przez nieistniejący koszyk: %1",module,InPost_InPostPay
"Cannot obtain order data.","Nie można pobrać danych zamówienia.",module,InPost_InPostPay
"Could not save Locker "%1" on Cart ID %2. Reason: %3","Paczkomat 24/7 ""%1"" nie mógł zostać zapisany w koszyku ID %2. Powód: %3",module,InPost_InPostPay
"Could not register currently viewed order (ID:%1). Reason: %2","Nie można zarejestrować aktualnie przeglądanego zamówienia (ID:%1). Powód: %2",module,InPost_InPostPay
"Delivery method selected for this quote (ID: %1) is not InPost Paczkomat 24/7","Metodą dostawy wybraną dla tego koszyka (ID: %1) nie jest InPost Paczkomat 24/7",module,InPost_InPostPay
"InPost Locker not set for Quote ID %1.","Paczkomat nie został wybrany dla koszyka ID %1.",module,InPost_InPostPay
"InPost Locker ID cannot be obtained because order does not exist: %1","Paczkomat nie może zostać pobrany przez nieistniejące zamówienie: %1",module,InPost_InPostPay
"Delivery method selected for this order #%1 is not InPost Paczkomat 24/7","Metodą dostawy wybraną dla tego zamówienia #%1 nie jest InPost Paczkomat 24/7",module,InPost_InPostPay
"InPost Locker ID not set for order #%1.","Paczkomat nie został wybrany dla zamówienia #%1.",module,InPost_InPostPay
"Order #%1 not found.","Nie znaleziono zamówienia #%1.",module,InPost_InPostPay
"Shipment Mapping Settings","Mapowanie Metod Dostawy",module,InPost_InPostPay
"IZI API Settings","Ustawienia IZI API",module,InPost_InPostPay
"Debugging Settings","Ustawienia Debuggowania",module,InPost_InPostPay
"Selected Paczkomat: %1","Wybrany Paczkomat: %1",module,InPost_InPostPay
"InPost basket lifetime in seconds.","Czas życia koszyka InPost w sekundach.",module,InPost_InPostPay
"Basket Lifetime","Czas życia koszyka",module,InPost_InPostPay
